DATE_KEY,FULL_DATE,YEAR,QUARTER,MONTH_NUMBER,MONTH_NAME,MONTH_SHORT,DAY_OF_MONTH,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,WEEK_OF_YEAR,MONTH_START_DATE,MONTH_END_DATE,QUARTER_START_DATE,QUARTER_END_DATE,YEAR_START_DATE,YEAR_END_DATE,IS_WEEKEND,YEAR_QUARTER,YEAR_MONTH
2021-01-01,2021-01-01,2021,1,1,January,Jan,1,5,1A21,53,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-03,2021-01-03,2021,1,1,January,Jan,3,0,3A21,53,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,TRUE,2021-Q1,2021-01
2021-01-04,2021-01-04,2021,1,1,January,Jan,4,1,4A21,1,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-05,2021-01-05,2021,1,1,January,Jan,5,2,5A21,1,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-06,2021-01-06,2021,1,1,January,Jan,6,3,6A21,1,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-07,2021-01-07,2021,1,1,January,Jan,7,4,7A21,1,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-08,2021-01-08,2021,1,1,January,Jan,8,5,8A21,1,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-09,2021-01-09,2021,1,1,January,Jan,9,6,9A21,1,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,TRUE,2021-Q1,2021-01
2021-01-11,2021-01-11,2021,1,1,January,Jan,11,1,11A21,2,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-12,2021-01-12,2021,1,1,January,Jan,12,2,12A21,2,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-13,2021-01-13,2021,1,1,January,Jan,13,3,13A21,2,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-14,2021-01-14,2021,1,1,January,Jan,14,4,14A21,2,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-15,2021-01-15,2021,1,1,January,Jan,15,5,15A21,2,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-16,2021-01-16,2021,1,1,January,Jan,16,6,16A21,2,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,TRUE,2021-Q1,2021-01
2021-01-17,2021-01-17,2021,1,1,January,Jan,17,0,17A21,2,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,TRUE,2021-Q1,2021-01
2021-01-18,2021-01-18,2021,1,1,January,Jan,18,1,18A21,3,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-19,2021-01-19,2021,1,1,January,Jan,19,2,19A21,3,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
2021-01-20,2021-01-20,2021,1,1,January,Jan,20,3,20A21,3,2021-01-01,2021-01-31,2021-01-01,2021-03-31,2021-01-01,2021-12-31,FALSE,2021-Q1,2021-01
