LOCATION_KEY,POSTCODE_DISTRICT,POSTCODE_AREA,BOROUGH,IS_CENTRAL_LONDON,LONDON_REGION
a3299962004b7e250784d44a18db2094,E14,E,Tower Hamlets,FALSE,East London
19a670a94e76ddbaec13eebadf6836bf,E15,E,Newham,FALSE,East London
b30dbd5c1086d09e420bfdaebaaa582b,NW7,NW,Barnet,FALSE,North West London
761a5c6969f2f6711243c3d13922a79c,N15,N,Haringey,FALSE,North London
570794ba262210ff37cb1bbf5a28b495,E2,E,Tower Hamlets,FALSE,East London
72af5dfc416109a57fafbcbcfd057640,E12,E,Newham,FALSE,East London
ed777a5abcbef4afd9ab3d1dbfe0f83f,SE23,SE,Lewisham,FALSE,South East London
f9b7b342ff4dceb5eee286d9d0bbd68b,SE21,SE,Southwark,TRUE,South East London
9883c6bcdcb30010faedb73819939e86,SE13,SE,Lewisham,FALSE,South East London
9cc1584c084f1c98cdf821989cba9961,W1W,W,Westminster,TRUE,West London
289fc86d044142cc7e1d400cdf294da7,WC1B,WC,Camden,TRUE,West Central London
cf935fd5c0352bae377281cc6986d2ed,WC2E,WC,Westminster,TRUE,West Central London
b73f5abd01d03b7bc0820d516a75368f,SW12,SW,Wandsworth,FALSE,South West London
dc28a63267813630713afd49565bcc91,W4,W,Hounslow,FALSE,West London
22db5461f51556674b34576098e33713,WC1X,WC,Camden,TRUE,West Central London
eceeb5f4fc6860bebe5b9215b34057f2,SE3,SE,Greenwich,FALSE,South East London
bf279a4feb954e7d603643c321272deb,SW1X,SW,Westminster,TRUE,South West London
d6dfbb459faf990f2e46e0e7c5c93dd2,EC1V,EC,Islington,TRUE,East Central London
25e39be0f69dc282083339c5228a7f84,W6,W,Hammersmith and Fulham,TRUE,West London
c25a863f75bfee82ed0683893a3fd8e1,NW10,NW,Brent,FALSE,North West London
5a0691cdbd8abd4dfe88d86ea2b2e28a,N6,N,Haringey,FALSE,North London
fd149998d7a6a1e961953d0101a40209,W1B,W,Westminster,TRUE,West London
62a04f55f22e048896432ce001ced829,SW7,SW,Kensington and Chelsea,TRUE,South West London
d0c4c80cf89950d1473d545b62ec3b95,N3,N,Barnet,FALSE,North London
b02c2e8ef5e7c4e230a485924abda5c3,SE11,SE,Lambeth,TRUE,South East London
759015e82210d23107be62dce4b89a7c,SW20,SW,Merton,FALSE,South West London
200dfd2a63d811ce3615f5f198d94fef,SW1E,SW,Westminster,TRUE,South West London
5a8383590bc70b29d7bfda68eafac333,EC3M,EC,City of London,TRUE,East Central London
d092ee3629d54c7736f4a045e5822ec3,SW1V,SW,Westminster,TRUE,South West London
5fc693c18cb8a707eee861939d1c553a,E1W,E,Tower Hamlets,FALSE,East London
f4153e2eb577d47e67d600e1d7b3f31e,SW1P,SW,Westminster,TRUE,South West London
3e95758856c1bc31be355c771730bc0a,WC2H,WC,Westminster,TRUE,West Central London
85c4dd9299da5d5f8c613bfdd3453c96,EC2R,EC,City of London,TRUE,East Central London
fe89e43b12284274e0e62cbdd2cad8f9,EC2M,EC,City of London,TRUE,East Central London
b7cb514274cc7a32a6b46811fd20bcbb,SE24,SE,Lambeth,TRUE,South East London
45a47a4a4155788b150eb4a4fa2e5863,EC3V,EC,City of London,TRUE,East Central London
2463cf4643199adda6936e0229a58890,W9,W,Westminster,TRUE,West London
b9f961dbcc6e629e67285431e45cfedd,E17,E,Waltham Forest,FALSE,East London
08383539e14d7d6eb8873d143b05ae22,EC2A,EC,Hackney,FALSE,East Central London
61e7b8107bbef1220b84b96834b52568,SE20,SE,Bromley,FALSE,South East London
5cbb0c809e8e5bcbce6b26099a7a9173,N9,N,Enfield,FALSE,North London
9938316893f472333e12ff94d2ce0201,W8,W,Kensington and Chelsea,TRUE,West London
bd077789b9d8f44bc3caa1b87c65c6da,W1D,W,Westminster,TRUE,West London
2dc31dd4534195fd6b3013ff8362eac7,WC2R,WC,Westminster,TRUE,West Central London
7c447d393f149bc0575f4fd2d27062d0,N21,N,Enfield,FALSE,North London
7b1cd5b57d8862ed63e6011e71bcd1c4,E11,E,Waltham Forest,FALSE,East London
c8e244348be0470c1505a2fe71a08875,SW17,SW,Wandsworth,FALSE,South West London
5cfb9e859fe8fb4554d13ba2ef8d2626,N17,N,Haringey,FALSE,North London
cfbbf8f389570caf0a9fc76ed49f9bad,E20,E,Newham,FALSE,East London
9bfd8a0b7369b60cfb9a13c17a4ef2ec,E7,E,Newham,FALSE,East London
1d46db2a3723b569c4c031fb4aadcac3,SE25,SE,Croydon,FALSE,South East London
2f070fa64956b980dfa4521d514fe45a,N11,N,Barnet,FALSE,North London
849152ed5df55e245933cfe268189563,N12,N,Barnet,FALSE,North London
5151c5467c694c9a800cd944e8121862,SE18,SE,Greenwich,FALSE,South East London
a2de935b00a1a2ae1a929b3dc9685974,EC1Y,EC,City of London,TRUE,East Central London
58d52bf0b2c174e677550140e2893f49,W1J,W,Westminster,TRUE,West London
1de52821f645c8475ead07de7f72eda7,SW1W,SW,Westminster,TRUE,South West London
61b45a87351d30dc660ef6d5b21d9bbe,EC4Y,EC,City of London,TRUE,East Central London
ddd1120eb7e5fa3eb942ee66259e9fd9,SE14,SE,Lewisham,FALSE,South East London
0ef37e213a0bd96373f45880a0971e63,W1K,W,Westminster,TRUE,West London
880c698113dafeafeed940eec3a3de47,NW3,NW,Camden,TRUE,North West London
403f320a453cda5e72bd5f5109a92d02,NW6,NW,Camden,TRUE,North West London
7c6d2eb7ba1cf9e3dc92c32cd25f189a,E8,E,Hackney,FALSE,East London
84365e66c0e0fa566ba1c14944f4749e,W1U,W,Westminster,TRUE,West London
2101816468cf84ef223c942de8de6102,E13,E,Newham,FALSE,East London
197e98f3613d482886294722c3e410d0,EC1R,EC,Islington,TRUE,East Central London
86215db47d57819b40ef2e1a7028084f,W7,W,Ealing,FALSE,West London
8b4fb4866d69c2bd7b35713492a3f73f,SE15,SE,Southwark,TRUE,South East London
5753e2480484e615286ed174f6833a72,N13,N,Enfield,FALSE,North London
c1e88affd93ebd72bd82ae51cc765558,WC2N,WC,Westminster,TRUE,West Central London
