BOROUGH,IS_CENTRAL_LONDON,LONDON_REGION,YEAR,TRANSACTIONS,AVG_PRICE,MEDIAN_PRICE,PREV_AVG_PRICE,PREV_MEDIAN_PRICE,YOY_AVG_CHANGE_GBP,YOY_MEDIAN_CHANGE_GBP,YOY_AVG_CHANGE_PCT,YOY_MEDIAN_CHANGE_PCT,YOY_VOLUME_CHANGE_PCT
Barnet,FALSE,North London,2021,2166,807260,570000,667045,510000,140215,60000,21.02,11.76,-28.09
Barnet,FALSE,North West London,2021,3012,667045,510000,,,,,,,
Bexley,FALSE,South East London,2021,320,402971,360000,,,,,,,
Brent,FALSE,North West London,2021,1945,904076,514000,,,,,,,
Bromley,FALSE,South East London,2021,495,444764,395000,,,,,,,
Camden,TRUE,West Central London,2021,439,2325186,916650,,,,,,,
Camden,TRUE,North London,2021,47,2489767,1067000,2325186,916650,164581,150350,7.08,16.40,-89.29
Camden,TRUE,North West London,2021,2955,1359648,750000,2489767,1067000,-1130119,-317000,-45.39,-29.71,6187.23
City of London,TRUE,East Central London,2021,400,5441319,830000,,,,,,,
Croydon,FALSE,South East London,2021,1464,455544,388720,,,,,,,
Ealing,FALSE,West London,2021,3079,704861,560000,,,,,,,
Enfield,FALSE,North London,2021,2164,577779,445000,,,,,,,
Greenwich,FALSE,South East London,2021,4616,536348,440000,,,,,,,
Hackney,FALSE,North London,2021,855,775395,560000,1598543,950000,-823148,-390000,-51.49,-41.05,260.76
Hackney,FALSE,East London,2021,1720,644383,540000,,,,,,,
Hackney,FALSE,East Central London,2021,237,1598543,950000,644383,540000,954160,410000,148.07,75.93,-86.22
Hammersmith and Fulham,TRUE,West London,2021,2122,979968,721000,,,,,,,
Hammersmith and Fulham,TRUE,South West London,2021,1378,1161563,830000,979968,721000,181595,109000,18.53,15.12,-35.06
Haringey,FALSE,North London,2021,4848,707172,534563,,,,,,,
Hounslow,FALSE,West London,2021,878,1037451,735000,,,,,,,
Islington,TRUE,East Central London,2021,348,2673329,887500,,,,,,,
Islington,TRUE,North London,2021,2687,916063,620000,2673329,887500,-1757266,-267500,-65.73,-30.14,672.13
Kensington and Chelsea,TRUE,South West London,2021,1350,2203483,1200000,2340476,1100000,-136993,100000,-5.85,9.09,19.26
Kensington and Chelsea,TRUE,West London,2021,1132,2340476,1100000,,,,,,,
Lambeth,TRUE,South West London,2021,4541,676408,535000,734842,565500,-58434,-30500,-7.95,-5.39,359.62
Lambeth,TRUE,South East London,2021,988,734842,565500,,,,,,,
Lewisham,FALSE,South East London,2021,4758,564318,450000,,,,,,,
Merton,FALSE,South West London,2021,2428,964646,650000,,,,,,,
Newham,FALSE,East London,2021,3856,597982,420000,,,,,,,
Redbridge,FALSE,East London,2021,409,593418,525000,,,,,,,
Richmond upon Thames,FALSE,South West London,2021,710,1295651,1042500,,,,,,,
Southwark,TRUE,South East London,2021,4705,909929,550000,,,,,,,
Tower Hamlets,FALSE,East London,2021,6107,875755,556000,,,,,,,
Waltham Forest,FALSE,East London,2021,4744,535711,478000,,,,,,,
Wandsworth,FALSE,South West London,2021,7341,862013,635000,,,,,,,
Westminster,TRUE,West London,2021,2335,2588543,975000,3484754,1070000,-896211,-95000,-25.72,-8.88,154.91
Westminster,TRUE,South West London,2021,916,3484754,1070000,,,,,,,
Westminster,TRUE,North West London,2021,460,1826730,750000,12322831,970000,-10496101,-220000,-85.18,-22.68,379.17
Westminster,TRUE,West Central London,2021,96,12322831,970000,2588543,975000,9734288,-5000,376.05,-0.51,-95.89
Barnet,FALSE,North West London,2022,2362,775415,555000,837549,595000,-62134,-40000,-7.42,-6.72,27.47
Barnet,FALSE,North London,2022,1853,837549,595000,807260,570000,30289,25000,3.75,4.39,-14.45
Bexley,FALSE,South East London,2022,397,390802,376000,402971,360000,-12169,16000,-3.02,4.44,24.06
Brent,FALSE,North West London,2022,1745,982554,550000,904076,514000,78478,36000,8.68,7.00,-10.28
Bromley,FALSE,South East London,2022,425,430427,380000,444764,395000,-14337,-15000,-3.22,-3.80,-14.14
Camden,TRUE,North West London,2022,2806,1337296,790000,1717196,1141000,-379900,-351000,-22.12,-30.76,9921.43
Camden,TRUE,North London,2022,28,1717196,1141000,1359648,750000,357548,391000,26.30,52.13,-99.05
Camden,TRUE,West Central London,2022,398,3763234,871375,1337296,790000,2425938,81375,181.41,10.30,-85.82
City of London,TRUE,East Central London,2022,376,3487013,916343,5441319,830000,-1954306,86343,-35.92,10.40,-6.00
Croydon,FALSE,South East London,2022,1183,430980,382500,455544,388720,-24564,-6220,-5.39,-1.60,-19.19
Ealing,FALSE,West London,2022,2984,693103,570000,704861,560000,-11758,10000,-1.67,1.79,-3.09
Enfield,FALSE,North London,2022,1787,578468,450000,577779,445000,689,5000,0.12,1.12,-17.42
Greenwich,FALSE,South East London,2022,3961,589674,475000,536348,440000,53326,35000,9.94,7.95,-14.19
