BOROUGH,PROPERTY_TYPE_NAME,PROPERTY_CATEGORY,TOTAL_TRANSACTIONS,AVG_PRICE_OVERALL,MEDIAN_PRICE_OVERALL,AVG_PRICE_2021,AVG_PRICE_2024,FOUR_YEAR_GROWTH_PCT,TRANSACTIONS_2021,TRANSACTIONS_2024
Barnet,Detached,House,1188,1997875,1445000,1768709,2110823,19.34,374,253
Barnet,Flat,Apartment,8599,465780,415000,431372,481752,11.68,2776,1801
Barnet,Semi-Detached,House,3040,971264,865000,922840,969291,5.03,943,736
Barnet,Terraced,House,2485,734510,675000,709694,738371,4.04,827,571
Barnet,Other,Other,866,1728791,500000,1711339,1675609,-2.09,258,177
Bexley,Semi-Detached,House,111,462011,435000,428307,476339,11.21,31,29
Bexley,Terraced,House,608,398937,400000,374305,413591,10.50,170,164
Bexley,Flat,Apartment,444,314497,304400,281939,248301,-11.93,109,38
Brent,Terraced,House,1390,872836,761840,827377,890059,7.58,395,331
Brent,Detached,House,127,1824393,1580000,1595452,1675587,5.02,44,23
Brent,Flat,Apartment,3458,445000,420000,433179,434033,0.20,1097,792
Brent,Semi-Detached,House,779,1017310,830000,1008409,983221,-2.50,222,201
Brent,Other,Other,568,2955833,595000,3541974,1903980,-46.25,187,127
Bromley,Other,Other,113,716724,355000,668839,899150,34.43,35,20
Bromley,Flat,Apartment,1007,337351,325000,335167,349452,4.26,294,218
Bromley,Terraced,House,359,569653,560000,568085,585523,3.07,124,82
Bromley,Semi-Detached,House,109,670665,612500,653571,657833,0.65,37,27
Camden,Semi-Detached,House,336,3162493,2605000,2927042,3196045,9.19,106,82
Camden,Detached,House,182,5137586,3900000,5356029,5308785,-0.88,43,47
Camden,Terraced,House,1507,2037325,1650000,1997580,1961151,-1.82,433,388
Camden,Flat,Apartment,9480,872203,690000,879152,855336,-2.71,2554,2358
Camden,Other,Other,1079,4755822,926000,4933290,3366127,-31.77,305,277
City of London,Flat,Apartment,1153,983983,800000,977553,960620,-1.73,299,344
City of London,Other,Other,383,14573231,2850000,19126449,10800417,-43.53,96,109
Croydon,Detached,House,125,953910,757000,838063,1030500,22.96,40,30
Croydon,Terraced,House,1267,508429,480000,486622,511863,5.19,424,276
Croydon,Flat,Apartment,2571,332722,320000,338578,331978,-1.95,793,509
