BOROUGH,POSTCODE_DISTRICT,POSTCODE_TRANSACTIONS,POSTCODE_MEDIAN_PRICE,BOROUGH_MEDIAN_PRICE,PRICE_GAP_GBP,PRICE_GAP_PCT,VALUE_POSITION
Barnet,NW9,1543,444000,565000,-121000,-21.4,Undervalued (10-25% below)
Barnet,N12,728,475500,565000,-89500,-15.8,Undervalued (10-25% below)
Barnet,N11,567,525000,565000,-40000,-7.1,In Line With Borough
Barnet,NW4,629,550000,565000,-15000,-2.7,In Line With Borough
Barnet,N20,662,565000,565000,0,0.0,In Line With Borough
Barnet,N3,555,605000,565000,40000,7.1,In Line With Borough
Barnet,NW7,799,605000,565000,40000,7.1,In Line With Borough
Barnet,N2,575,724000,565000,159000,28.1,Significant Premium (>25% above)
Barnet,NW11,727,855000,565000,290000,51.3,Significant Premium (>25% above)
Bexley,SE2,494,400000,400000,0,0.0,In Line With Borough
Brent,NW10,1367,515500,522750,-7250,-1.4,In Line With Borough
Brent,NW2,1265,530000,522750,7250,1.4,In Line With Borough
Bromley,SE20,683,383500,383500,0,0.0,In Line With Borough
Camden,WC1H,160,407500,880000,-472500,-53.7,Significantly Undervalued (>25% below)
Camden,NW5,614,657500,880000,-222500,-25.3,Significantly Undervalued (>25% below)
Camden,NW6,1745,680700,880000,-199300,-22.6,Undervalued (10-25% below)
Camden,WC1N,94,762500,880000,-117500,-13.4,Undervalued (10-25% below)
Camden,NW1,1170,780000,880000,-100000,-11.4,Undervalued (10-25% below)
Camden,WC1A,45,980000,880000,100000,11.4,Premium (10-25% above)
Camden,NW3,1490,985000,880000,105000,11.9,Premium (10-25% above)
Camden,WC2B,47,1000000,880000,120000,13.6,Premium (10-25% above)
Camden,WC1X,298,1020300,880000,140300,15.9,Premium (10-25% above)
Camden,N1C,152,1163163,880000,283163,32.2,Significant Premium (>25% above)
City of London,EC1Y,67,685000,805750,-120750,-15.0,Undervalued (10-25% below)
City of London,EC1N,64,777500,805750,-28250,-3.5,In Line With Borough
City of London,EC1A,69,790000,805750,-15750,-2.0,In Line With Borough
City of London,EC1M,100,805750,805750,0,0.0,In Line With Borough
City of London,EC2Y,174,880000,805750,74250,9.2,In Line With Borough
City of London,EC3N,111,953390,805750,147640,18.3,Premium (10-25% above)
City of London,EC4V,43,1050000,805750,244250,30.3,Significant Premium (>25% above)
Croydon,SE25,1017,354300,392150,-37850,-9.7,In Line With Borough
Croydon,SE19,905,430000,392150,37850,9.7,In Line With Borough
Ealing,W3,1750,496850,555125,-58275,-10.5,Undervalued (10-25% below)
Ealing,W7,702,518250,555125,-36875,-6.6,In Line With Borough
Ealing,W5,1443,592000,555125,36875,6.6,In Line With Borough
Ealing,W13,904,710000,555125,154875,27.9,Significant Premium (>25% above)
Enfield,N9,717,388000,506000,-118000,-23.3,Undervalued (10-25% below)
Enfield,N18,432,395000,506000,-111000,-21.9,Undervalued (10-25% below)
Enfield,N13,635,506000,506000,0,0.0,In Line With Borough
Enfield,N14,640,596294,506000,90294,17.8,Premium (10-25% above)
Enfield,N21,502,640500,506000,134500,26.6,Significant Premium (>25% above)
Greenwich,SE28,524,340000,447500,-107500,-24.0,Undervalued (10-25% below)
Greenwich,SE18,1737,415000,447500,-32500,-7.3,In Line With Borough
Greenwich,SE9,1364,445000,447500,-2500,-0.6,In Line With Borough
Greenwich,SE7,349,450000,447500,2500,0.6,In Line With Borough
Greenwich,SE3,1210,482750,447500,35250,7.9,In Line With Borough
Greenwich,SE10,1462,530000,447500,82500,18.4,Premium (10-25% above)
Hackney,E9,616,530000,578500,-48500,-8.4,In Line With Borough
Hackney,E5,920,538750,578500,-39750,-6.9,In Line With Borough
Hackney,N16,1238,578500,578500,0,0.0,In Line With Borough
Hackney,E8,906,611125,578500,32625,5.6,In Line With Borough
Hackney,EC2A,218,941500,578500,363000,62.7,Significant Premium (>25% above)
Hammersmith and Fulham,W14,964,663500,765000,-101500,-13.3,Undervalued (10-25% below)
Hammersmith and Fulham,W6,1045,750000,765000,-15000,-2.0,In Line With Borough
Hammersmith and Fulham,W12,1239,780000,765000,15000,2.0,In Line With Borough
Hammersmith and Fulham,SW6,2726,910000,765000,145000,19.0,Premium (10-25% above)
Haringey,N17,1174,445000,550000,-105000,-19.1,Undervalued (10-25% below)
Haringey,N15,868,500000,550000,-50000,-9.1,In Line With Borough
Haringey,N22,769,510000,550000,-40000,-7.3,In Line With Borough
Haringey,N4,1473,550000,550000,0,0.0,In Line With Borough
Haringey,N8,1291,560000,550000,10000,1.8,In Line With Borough
Haringey,N10,651,720000,550000,170000,30.9,Significant Premium (>25% above)
Haringey,N6,567,812500,550000,262500,47.7,Significant Premium (>25% above)
Hounslow,W4,1467,790000,790000,0,0.0,In Line With Borough
Islington,N7,950,550000,687500,-137500,-20.0,Undervalued (10-25% below)
Islington,N19,644,610000,687500,-77500,-11.3,Undervalued (10-25% below)
